x,y,eta,u,u_over_Ue,T,T_over_Te,rho,rho_over_rhoe,mu,mu_over_mue,Mach
0.3,0.0,0.0,0.0,0.0,300.0,1.4563106796116505,0.05422980897636881,0.6866666666666666,1.8459162511975804e-05,1.3549091455606406,0.0
0.3,2.020938527237759e-06,0.020050125313283207,11.304992000410273,0.0066578280332215975,307.42641835294376,1.4923612541405036,0.05291979388132132,0.6700790423401406,1.8808464654371413e-05,1.3805480480291945,0.032163023883785134
0.3,4.041877054475518e-06,0.040100250626566414,22.609975164207786,0.013315650862313183,314.74489133631187,1.5278878220209313,0.05168929866927345,0.6544983117132931,1.9148666399401983e-05,1.4055189780688733,0.06357376716157445
0.3,6.062815581713277e-06,0.06015037593984962,33.91492678772382,0.019973455116445125,321.9554048307736,1.5628903147124933,0.05053166509648109,0.6398401670202675,1.9480053766118768e-05,1.4298429295805701,0.09428665538222974
0.3,8.083754108951035e-06,0.08020050125313283,45.21980903933689,0.026631218515510535,329.05793615185263,1.597368622096372,0.049440967396704574,0.6260295752445726,1.9802895958862305e-05,1.4535396622593837,0.12435113277612635
0.3,1.0104692636188794e-05,0.10025062656641603,56.524568960215774,0.033288909870562884,336.0524547725681,1.6313225959833404,0.04841191445520329,0.6129995394302822,2.0117446558921244e-05,1.4766277890628041,0.1538122516104456
0.3,1.2125631163426553e-05,0.12030075187969924,67.829138465731,0.039946489084647235,342.93892304640514,1.664752053623326,0.04743976725765012,0.6006900534067546,2.042394462270734e-05,1.4991248568171507,0.18271117798055203
0.3,1.4146569690664312e-05,0.14035087719298245,79.13343434775715,0.04660390715415615,349.71729693067823,1.6976567812168846,0.04652026890204264,0.5890472155880634,2.0722615693623796e-05,1.52104742048907,0.21108562774664075
0.3,1.616750821790207e-05,0.16040100250626566,90.4373582780886,0.05326110617084134,356.3875267103282,1.7300365374287776,0.04564958499833817,0.5780224743034759,2.1013672734501017e-05,1.5424111116266563,0.23897024378681742
0.3,1.818844674513983e-05,0.18045112781954886,101.74079681319107,0.05991801932461194,362.94955772216974,1.7618910569037367,0.04482425270060303,0.5675719824342331,2.1297316987091086e-05,1.563230701446653,0.2663969237203375
0.3,2.020938527237759e-05,0.20050125313283207,113.04362140051127,0.06657457090725045,369.4033310795808,1.793220053784373,0.044041136947424585,0.5576560433225256,2.1573738764687925e-05,1.583520159013057,0.29339510564121785
0.3,2.2230323799615347e-05,0.22055137844611528,124.34568838656638,0.0732306763171769,375.7487843976038,1.8240232252310864,0.04329739274870264,0.5482386332407085,2.1843118183501946e-05,1.6032927049202799,0.3199920181044141
0.3,2.4251262326853106e-05,0.24060150375939848,135.6468390270351,0.07988624206539169,381.9858525184035,1.8543002549437062,0.04259043256615592,0.5392869883579661,2.2105625837982216e-05,1.622560860862037,0.34621289955676365
0.3,2.6272200854090865e-05,0.2606516290726817,146.94689949907155,0.08654116578272765,388.1144682370015,1.8840508166844734,0.04191789800264812,0.5307712462659506,2.2361423424857783e-05,1.6413364954362055,0.3720811915510452
0.3,2.8293139381328624e-05,0.2807017543859649,158.24568091606253,0.09319533622854095,394.13456302718726,1.9132745778018798,0.041277635150684354,0.522664133837433,2.2610664320268895e-05,1.6596308665064614,0.3976187093836771
0.3,3.0314077908566383e-05,0.3007518796992481,169.5429793450484,0.09984863330097078,400.04606776747613,1.9419712027547384,0.040667673060010796,0.5149406945795453,2.2853494113982734e-05,1.677454660413906,0.42284579322353927
0.3,3.233501643580414e-05,0.3208020050125313,180.83857582702663,0.10650092804889671,405.84891346696764,1.9701403566357654,0.0400862048734665,0.5075780497728658,2.3090051104338708e-05,1.6948180283062286,0.44778144232668543
0.3,3.4355954963041904e-05,0.3408521303258145,192.13223640035696,0.11315208268572259,411.54303199092766,1.9977817086938237,0.03953157125320806,0.5005551886115792,2.332046675724501e-05,1.7117306198282185,0.47244343454006227
0.3,3.637689349027966e-05,0.3609022556390977,203.42371212748523,0.11980195060511498,417.1283567858995,2.024894935853881,0.039002245779375395,0.4938527833190064,2.3544866132251858e-05,1.7282016143956924,0.49684843297150993
0.3,3.839783201751742e-05,0.38095238095238093,214.71273912520235,0.12645037639882353,422.6048236041219,2.0514797262336018,0.03849682205272387,0.4874530258390329,2.3763368278455084e-05,1.7442397502549607,0.5210120814311473
0.3,4.041877054475518e-05,0.40100250626566414,225.9990385986536,0.13309719587671,427.9723712270111,2.0775357826553935,0.03801400227371463,0.4813394832226929,2.3976086602736154e-05,1.7598533515117767,0.5449490900210435
0.3,4.243970907199294e-05,0.42105263157894735,237.28231687931182,0.1397422360891118,433.23094218743984,2.1030628261526205,0.0375525871046205,0.4754969692605034,2.4183129212619183e-05,1.7750503532971644,0.568673312058032
0.3,4.4460647599230695e-05,0.44110275689223055,248.56226546712608,0.14638531535166435,438.3804834905236,2.128060599468561,0.037111466649637756,0.4699114302711723,2.4384599235820746e-05,1.7898383252224896,0.5921978133523449
0.3,4.648158612646846e-05,0.46115288220551376,259.83856107705645,0.15302624327270697,443.42094733260075,2.1525288705466057,0.036689612411809784,0.4645698432588565,2.4580595118381968e-05,1.8042244932624611,0.6155349347273292
0.3,4.850252465370621e-05,0.48120300751879697,271.1108656902033,0.15966482078339417,448.3522918180739,2.1764674360100678,0.03628607010558569,0.45946012490460914,2.4771210903104104e-05,1.8182157601924036,0.6386963485486832
0.3,5.0523463180943975e-05,0.5012531328320802,282.37882660973537,0.16630084017063332,453.17448167375295,2.199876124629869,0.035899953220717526,0.45457105007139936,2.4956536489855416e-05,1.8318187246948743,0.6616931099320402
0.3,5.254440170818173e-05,0.5213032581453634,293.642076521823,0.17293408511296998,457.88748896032195,2.222754800778262,0.03553043724747942,0.4498921786828966,2.5136657879178835e-05,1.8450396992405536,0.6845357032125269
0.3,5.456534023541949e-05,0.5413533834586466,304.90023356177414,0.17956433071953717,462.4912937805301,2.2451033678666508,0.03517675448530904,0.4454137899896445,2.531165740050419e-05,1.857884726839104,0.7072340841868363
0.3,5.658627876265725e-05,0.5614035087719298,316.1529013855735,0.18619134357218697,466.9858849836836,2.266921771765454,0.034838189367284784,0.44112682336682957,2.5481613926154724e-05,1.8703595967473257,0.7297977185755035
0.3,5.860721728989501e-05,0.581453634085213,327.39966924701923,0.19281488177091827,471.3712608659986,2.2882100042038767,0.03451407424165297,0.43702282489929245,2.564660307223483e-05,1.8824698592143874,0.7522356170988446
0.3,6.0628155817132766e-05,0.6015037593984962,338.64011208064807,0.19943469498271382,475.647429866349,2.3089681061473253,0.03420378555915253,0.43309389910481266,2.5806697387391704e-05,1.8942208393370008,0.7745563675131476
0.3,6.264909434437052e-05,0.6215538847117794,349.8737905906372,0.20605052449389705,479.81441125693175,2.329196171150154,0.03390674042134788,0.4293326652285373,2.5961966530359248e-05,1.905617650091205,0.7967681639130525
0.3,6.467003287160828e-05,0.6416040100250626,361.1002513458675,0.21266210326611748,483.8722358283437,2.3488943486812803,0.03362239345074169,0.42573221761184,2.611247743711509e-05,1.916665204601753,0.818878833570751
0.3,6.669097139884605e-05,0.6616541353383458,372.31902688132766,0.21926915599607047,487.8209465685532,2.3680628474201613,0.03335023394823489,0.42228608969961673,2.6258294478411784e-05,1.9273682277049575,0.8408958615518702
0.3,6.871190992608381e-05,0.681704260651629,383.52963580603523,0.2258713991790549,491.6605993352265,2.386701938520517,0.033089783307647294,0.4189882213025251,2.6399479608379306e-05,1.9377312668561681,0.862826413321048
0.3,7.073284845332156e-05,0.7017543859649122,394.7315829176452,0.23246854117646948,495.39126352085543,2.404811958839104,0.0328405926606046,0.41583292877616046,2.6536092504838528e-05,1.9477587024288296,0.8846773555267149
0.3,7.275378698055932e-05,0.7218045112781954,405.92435932391226,0.23906028228734527,499.01302271011275,2.422393314126761,0.032602240728217664,0.41281487781866927,2.6668190701912218e-05,1.9574547574481782,0.9064552751339953
0.3,7.477472550779708e-05,0.7418546365914787,417.10744257116863,0.24564631482400978,502.5259753288495,2.439446482178881,0.032374331858695184,0.4099290586226812,2.6795829715472428e-05,1.9668235067991235,0.9281664970565403
0.3,7.679566403503484e-05,0.7619047619047619,428.28029677997085,0.2522263231919734,505.9302352841298,2.4559720159423777,0.0321564942323995,0.4071707631474341,2.691906316191939e-05,1.975868885944663,0.9498171004221683
0.3,7.881660256227259e-05,0.7819548872180451,439.4423727880676,0.25879998397412696,509.2259325946891,2.4719705465761606,0.031948378217924865,0.40453556430316884,2.703794287074694e-05,1.9845946991882235,0.9714129335931379
0.3,8.083754108951035e-05,0.8020050125313283,450.59310830082984,0.2653669660193344,512.413214011183,2.4874427864620534,0.03174965486459057,0.4020192968628327,2.7152518991313423e-05,1.993004627510685,0.9929596280494494
0.3,8.285847961674812e-05,0.8220551378446115,461.7319280492817,0.2719269305355016,515.4922436255869,2.502389532163043,0.03156001451833119,0.39961803993625594,2.7262840094203432e-05,2.001102236010368,1.01446261123258
0.3,8.487941814398588e-05,0.8421052631578947,472.8582439558626,0.2784795311871982,518.4632034690931,2.5168116673256944,0.03137916554936473,0.3973281008596788,2.7368953267535627e-05,2.0088909809720628,1.0359271184372982
0.3,8.690035667122364e-05,0.8621553884711779,483.9714553080427,0.28502441419790503,521.3262940978407,2.5307101655234985,0.031206833181250098,0.39514600036908676,2.7470904208543766e-05,2.016374216589108,1.0573582038305367
0.3,8.892129519846139e-05,0.8822055137844611,495.0709489399104,0.2915612184569555,524.0817351658071,2.544086093037899,0.031042758412031916,0.39306845893957065,2.756873731073291e-05,2.023555201360689,1.078760750668593
0.3,9.094223372569915e-05,0.9022556390977443,506.15609942183687,0.2980895756312349,526.7297659841796,2.5569406115736872,0.03088669701913007,0.391092384185076,2.7662495746889073e-05,2.030437104184776,1.1001394807770444
0.3,9.296317225293691e-05,0.9223057644110275,517.226269258322,0.3046091102816973,529.2706460665223,2.569274980905448,0.030738418640481057,0.38921485922366555,2.7752221548199536e-05,2.0370230101655826,1.1214989633516286
0.3,9.498411078017468e-05,0.9423558897243107,528.2808090941121,0.3111194399847539,531.7046556590442,2.581090561451671,0.0305977059251915,0.3874331319229553,2.783795567972099e-05,2.043315926152955,1.1428436231328487
0.3,9.700504930741243e-05,0.9624060150375939,539.319057928673,0.31762017545858245,534.0320962552712,2.5923888167731612,0.030464353747633118,0.3857446049488578,2.7919738112414984e-05,2.0493187860297994,1.16417774800214
0.3,9.902598783465019e-05,0.9824561403508771,550.3403433390954,0.32411092069440245,536.2532910944252,2.6031713159923555,0.030338168479503005,0.3841468265482903,2.799760789195325e-05,2.055034455762418,1.1855054960430325
0.3,0.00010104692636188795,1.0025062656641603,561.3439817114962,0.33059127309275393,538.3685856428078,2.613439736130135,0.030218967314903145,0.3826374820032221,2.8071603204480275e-05,2.0604657382275047,1.2068309021067667
0.3,0.00010306786488912571,1.0225563909774436,572.3292784809759,0.337060823604815,540.3783480574876,2.623195864356736,0.030106577643965644,0.38121438569941535,2.8141761439506652e-05,2.065615377828541,1.2281578839182752
0.3,0.00010508880341636346,1.0426065162907268,583.2955283801747,0.34351915687878365,542.282969631593,2.632441600153364,0.030000836470972268,0.3798754737585596,2.8208119250093305e-05,2.070486064913337,1.2494902477552061
0.3,0.00010710974194360122,1.06265664160401,594.2420156964681,0.3499658514113475,544.0828652205128,2.64117895738113,0.029901589873294318,0.37861879718728086,2.8270712610475174e-05,2.0750804400036342,1.2708316937297917
0.3,0.00010913068047083899,1.0827067669172932,605.1680145378267,0.35640047970425603,545.7784736483134,2.6494100662539486,0.029808692497817275,0.3774425155007881,2.8329576871261632e-05,2.0794010978468327,1.292185820700733
0.3,0.00011115161899807675,1.1027568922305764,616.072789107357,0.36282260842600533,547.3702580936866,2.657137175212071,0.029722007091817708,0.3763448907827607,2.838474681234089e-05,2.083450591299194,1.3135561308399157
0.3,0.0001131725575253145,1.1228070175438596,626.9555939865288,0.36923179857863886,548.8587064547488,2.6643626526929554,0.029641404065532395,0.375324282146527,2.8436256693605953e-05,2.087231435049148,1.3349460338766193
0.3,0.00011519349605255226,1.1428571428571428,637.8156744270835,0.3756276056696605,550.2443316920235,2.6710889887962304,0.029566761083904287,0.374379140565686,2.8484140303611374e-05,2.0907461091887094,1.3563588510399505
0.3,0.00011721443457979002,1.162907268170426,648.6522666516078,0.3820095798890505,551.5276721489471,2.677318796839549,0.02949796268521048,0.37350800404511175,2.852843100626161e-05,2.093997062640426,1.3777978187184696
0.3,0.00011923537310702778,1.1829573934837092,659.464598162741,0.38837726629136693,552.7092918492544,2.683054814802206,0.029434899924475712,0.3727094931057977,2.8569161785624598e-05,2.0969867164467093,1.3992660918543574
0.3,0.00012125631163426553,1.2030075187969924,670.2518880609817,0.39473020498291034,553.7897807706102,2.688299906653447,0.029377470039754192,0.37198230655926273,2.8606365288956974e-05,2.0997174669278986,1.4207667470880438
0.3,0.0001232772501615033,1.2230576441102756,681.013347371036,0.40106793131391993,554.7697550938701,2.693057063562476,0.029325576139524488,0.3713252175492942,2.8640073868021363e-05,2.1021916887149685,1.4423027856678678
0.3,0.00012529818868874104,1.2431077694235588,691.7481793766478,0.4073899760757643,555.6498574273758,2.697329404987261,0.029279126909588053,0.37073706984064964,2.8670319618769627e-05,2.104411737662291,1.4638771361381446
0.3,0.0001273191272159788,1.263157894736842,702.455579963832,0.41369586570308126,556.4307570057013,2.7011201796393265,0.02923803633799479,0.3702167743360191,2.8697134419461086e-05,2.1063799536455283,1.4854926568179
0.3,0.00012934006574321657,1.2832080200501252,713.1347379724242,0.4199851224808152,557.113149862294,2.7044327663218155,0.029202223456638858,0.3697633058040698,2.8720549967279074e-05,2.1080986632492995,1.5071521380815434
0.3,0.00013136100427045433,1.3032581453634084,723.7848355558438,0.4262572647560917,557.6977589754748,2.7072706746382273,0.029171612098276484,0.3693756998027654,2.8740597813504777e-05,2.109570182348954,1.528858304451806
0.3,0.0001333819427976921,1.3233082706766917,734.4050485489568,0.43251180715486265,558.1853343872842,2.709637545569341,0.02914613066781652,0.36905304978341047,2.8757309397302628e-05,2.1107968185904316,1.5506138165144558
0.3,0.00013540288132492985,1.3433583959899749,744.9945468439139,0.4387482608032473,558.5766532946913,2.711537151915977,0.029125711926824033,0.3687945043619993,2.8770716078167706e-05,2.111780873771912,1.5724212726635083
0.3,0.00013742381985216762,1.363408521303258,755.5524947738191,0.44496613355348597,558.8725201127033,2.712973398605356,0.029110292790258882,0.3685992647454872,2.8780849167081357e-05,2.1125246461306517,1.5942832106849605
0.3,0.00013944475837940538,1.3834586466165413,766.0780515040815,0.45116493021441784,559.0737665089531,2.7139503228589956,0.029099814134545172,0.3684665823015344,2.8787739956418195e-05,2.1130304325381637,1.6162021091864236
0.3,0.0001414656969066431,1.4035087719298245,776.5703714312798,0.45734415278638385,559.1812514093592,2.7144720942201905,0.029094220616135525,0.3683957562611372,2.8791419748643906e-05,2.1133005306066512,1.6381803888794433
0.3,0.00014348663543388088,1.4235588972431077,787.028604589364,0.46350330070045,559.1958609744988,2.7145430144393146,0.029093460499795363,0.3683861315443361,2.8791919883840398e-05,2.1133372407093605,1.6602204137207448
0.3,0.00014550757396111864,1.443609022556391,797.4518970630003,0.46964187106183763,559.1185085463588,2.7141675172153343,0.02909748549588878,0.3684370966999024,2.8789271766092037e-05,2.113142867917342,1.6823244919181537
0.3,0.0001475285124883564,1.463659147869674,807.8393914078529,0.47575935889743987,558.950134565169,2.7133501677920826,0.029106250605998942,0.36854808195055916,2.8783506888763848e-05,2.112719723854878,1.7044948768064767
0.3,0.00014954945101559416,1.4837092731829573,818.1902270775875,0.4818552574072953,558.6917064560578,2.7120956624080472,0.029119713976262913,0.36871855733588255,2.87746568587002e-05,2.1120701284756755,1.7267337675982215
0.3,0.00015157038954283192,1.5037593984962405,828.5035408573615,0.4879290582198831,558.3442184853093,2.710408827598589,0.02913783675784349,0.3689480309455736,2.876275341937028e-05,2.1111964117617528,1.7490433100136398
0.3,0.0001535913280700697,1.5238095238095237,838.7784673035602,0.49398025165109555,557.9086915860414,2.7082946193497155,0.02916058297400019,0.3692360472362894,2.87478284729843e-05,2.110100915346775,1.7714255967942338
0.3,0.00015561226659730745,1.543859649122807,849.014139189517,0.5000083269667356,557.3861731531597,2.705758122102717,0.02918791939325741,0.3695821854256778,2.872991410160251e-05,2.1087859940654647,1.7938826681035505
0.3,0.00015763320512454518,1.5639097744360901,859.2096879569518,0.5060127726483815,556.7777368074933,2.702804547609191,0.029219815408200588,0.3699860579576744,2.870904258725727e-05,2.10725401743057,1.8164165118187876
0.3,0.00015965414365178295,1.5839598997493733,869.3642441728434,0.511993076662452,556.0844821290542,2.6994392336361854,0.029256242919461654,0.37044730903350803,2.868524643110662e-05,2.1055073710387426,1.8390290637164763
0.3,0.0001616750821790207,1.6040100250626566,879.4769337288725,0.5179487242219508,555.3075347050999,2.695667644199514,0.029297176206244675,0.37096561297227454,2.8658558383515213e-05,2.103548458778487,1.8617221979525567
0.3,0.00016369602070625847,1.6240601503759398,889.5468735267091,0.5238791952454117,554.4480464113617,2.69149537092894,0.02934259178693223,0.37154067244591277,2.862901148233893e-05,2.1013797056402694,1.884497715804263
0.3,0.00016571695923349623,1.644110275689223,899.5732110055417,0.5297839876357725,553.5071916038172,2.686928114581637,0.02939246849850405,0.37217221948481605,2.8596638950704065e-05,2.0990035502134683,1.9073574341062531
0.3,0.000167737897760734,1.6641604010025062,909.5550779024386,0.5356625900485504,552.4861704339743,2.6819717011357973,0.029446787202169228,0.37286001175049927,2.856147433972089e-05,2.0964224551616057,1.93030307999281
0.3,0.00016975883628797176,1.6842105263157894,919.4916074357959,0.5415144920116584,551.3862072164254,2.6766320738661427,0.029505530751379305,0.37360383213057524,2.852355150140167e-05,2.093638905234517,1.9533363279346687
0.3,0.00017177977481520952,1.7042606516290726,929.3819347881995,0.5473391842097759,550.2085499781725,2.6709152911561773,0.029568683899143428,0.37440348756516467,2.8482904602308102e-05,2.090655408270079,1.9764587993457214
0.3,0.00017380071334244728,1.7243107769423558,939.225197592409,0.5531361587705589,548.9544699779722,2.6648275241649135,0.029636233208126465,0.37525880790854316,2.8439568136320863e-05,2.0874744961314975,1.9996720621010855
0.3,0.00017582165186968502,1.744360902255639,949.0205364200817,0.5589049095524627,547.6252611960226,2.6583750543496243,0.02970816696326061,0.3761696448226157,2.8393576936539742e-05,2.084098725580785,2.0229776299684166
0.3,0.00017784259039692278,1.7644110275689222,958.7670952728548,0.5646449324339545,546.2222397943596,2.651564270846406,0.029784475086615907,0.3771358706989931,2.8344966186321984e-05,2.080530679088975,2.0463769619543015
0.3,0.00017986352892416054,1.7844611528822054,968.4640220753898,0.5703557256038809,544.7467435483834,2.644401667710599,0.029865149054288317,0.3781573776066152,2.8293771429465827e-05,2.0767729655836003,2.069871461567462
0.3,0.0001818844674513983,1.8045112781954886,978.1104691699747,0.5760367898527531,543.200131249982,2.63689384101933,0.029950181815076984,0.3792340762620293,2.8240028579545513e-05,2.072828221133884,2.0934624760004548
0.3,0.00018390540597863607,1.8245614035087718,987.7055938122694,0.5816876288647052,541.583782082773,2.6290474858387043,0.030039567710733583,0.3803658950195742,2.8183773928403197e-05,2.0686991095740503,2.1171512952315035
0.3,0.00018592634450587383,1.844611528822055,997.248558667776,0.5873077495098799,539.8990949700276,2.620869393058386,0.030133302397578218,0.3815527788788682,2.8125044153802833e-05,2.0643883230651214,2.140939151048074
0.3,0.0001879472830331116,1.8646616541353382,1006.7385323086002,0.5928966621369848,538.1474878958956,2.6123664460965803,0.030231382769286223,0.38279468850712284,2.806387632625055e-05,2.0598985825955367,2.164827215993779
0.3,0.00018996822156034935,1.8847117794486214,1016.174689710069,0.598453880865765,536.3303972005964,2.6035456174786233,0.030333806880660154,0.38409159927393155,2.80003079149854e-05,2.0552326384208732,2.188816602240203
0.3,0.0001919891600875871,1.9047619047619047,1025.5562127467613,0.6039789238791291,534.4492768502881,2.5944139652926608,0.030440573872210434,0.3854435002962975,2.7934376793144138e-05,2.050393270442947,2.2129083603852404
0.3,0.00019401009861482485,1.9248120300751879,1034.882290687501,0.6094713137146649,532.5055976823769,2.5849786295261015,0.030551683895376748,0.3868503934917744,2.7866121242103248e-05,2.0453832885285137,2.2371034781795784
0.3,0.0001960310371420626,1.944862155388471,1044.1521206888567,0.6149305775552748,530.5008466270706,2.5752468282867502,0.03066713803823073,0.3883122926377026,2.7795579955001182e-05,2.0402055327678066,2.2614028791829734
0.3,0.00019805197566930038,1.9649122807017543,1053.3649082866875,0.6203562475186617,528.4365259060328,2.5652258539127804,0.030786938251508383,0.3898292224346187,2.772279203944324e-05,2.0348628736730743,2.2858074213520294
0.3,0.00020007291419653814,1.9849624060150375,1062.5198678852728,0.6257478609453904,526.3141522090324,2.5549230689758855,0.030911087274828254,0.39140121757201857,2.764779701939194e-05,2.0293582123173337,2.3103178955612615
0.3,0.0002020938527237759,2.0050125313283207,1071.6162232435504,0.6311049606852476,524.1352558495282,2.544345902182176,0.03103958856295907,0.3930283217947462,2.7570634836244556e-05,2.0236944804134627,2.3349350240592646
0.3,0.00020411479125101366,2.025062656641604,1080.6532079580008,0.636427095381626,521.901379900174,2.533501844175602,0.031172446212007456,0.39471058696837014,2.749134584910059e-05,2.0178746403338326,2.3596594588619464
